element_id,player_name,round,is_home,opponent_difficulty,prev_minutes_avg,prev_points_avg,prev_xg_avg,prev_xa_avg,prev_ict_avg,prev_goals_sum,prev_assists_sum,prev_starts_rate,season_points_before,total_points
9,Kiwior,11,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Kiwior,12,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Kiwior,13,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Kiwior,14,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Kiwior,15,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,Lewis-Skelly,4,1,2,14.666666666666666,0.3333333333333333,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,1.0,1
10,Lewis-Skelly,5,1,4,16.5,0.5,0.0,0.0,0.225,0.0,0.0,0.0,2.0,0
10,Lewis-Skelly,6,0,4,13.2,0.4,0.0,0.0,0.18,0.0,0.0,0.0,2.0,1
10,Lewis-Skelly,7,1,2,10.0,0.6,0.0,0.0,0.22000000000000003,0.0,0.0,0.0,3.0,1
10,Lewis-Skelly,8,0,3,7.8,0.6,0.0,0.0,0.18,0.0,0.0,0.0,4.0,0
10,Lewis-Skelly,9,1,3,7.8,0.6,0.0,0.0,0.18,0.0,0.0,0.0,4.0,1
10,Lewis-Skelly,10,0,2,3.8,0.6,0.0,0.0,0.18,0.0,0.0,0.0,5.0,1
10,Lewis-Skelly,11,0,3,4.0,0.8,0.0,0.0,0.22000000000000003,0.0,0.0,0.0,6.0,0
10,Lewis-Skelly,12,1,3,3.6,0.6,0.0,0.0,0.18,0.0,0.0,0.0,6.0,1
10,Lewis-Skelly,13,0,3,0.8,0.6,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,7.0,0
10,Lewis-Skelly,14,1,3,9.8,0.6,0.0,0.004,0.12,0.0,0.0,0.0,7.0,0
10,Lewis-Skelly,15,0,3,9.4,0.4,0.0,0.004,0.1,0.0,0.0,0.0,7.0,1
11,White,4,1,2,23.333333333333332,2.0,0.0033333333333333335,0.0033333333333333335,0.9333333333333332,0.0,0.0,0.3333333333333333,6.0,0
11,White,5,1,4,17.5,1.5,0.0025,0.0025,0.7,0.0,0.0,0.25,6.0,0
11,White,6,0,4,14.0,1.2,0.002,0.002,0.5599999999999999,0.0,0.0,0.2,6.0,0
11,White,7,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0
11,White,8,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0
11,White,9,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0
11,White,10,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0
11,White,11,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0
11,White,12,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0
11,White,13,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0
11,White,14,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14
11,White,15,0,3,18.0,2.8,0.008,0.028000000000000004,1.7399999999999998,0.0,1.0,0.2,20.0,1
12,Zinchenko,4,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12,Zinchenko,5,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
12,Zinchenko,6,1,2,18.0,0.4,0.008,0.014000000000000002,1.26,0.0,0.0,0.2,2.0,2
12,Zinchenko,7,0,4,36.0,0.8,0.008,0.034,1.94,0.0,0.0,0.4,4.0,0
12,Zinchenko,8,1,3,36.0,0.8,0.008,0.034,1.94,0.0,0.0,0.4,4.0,1
12,Zinchenko,9,0,4,50.6,1.0,0.008,0.06000000000000001,2.6,0.0,0.0,0.6,5.0,0
12,Zinchenko,10,1,3,50.6,1.0,0.008,0.06000000000000001,2.6,0.0,0.0,0.6,5.0,0
12,Zinchenko,11,1,2,32.6,0.6,0.0,0.046,1.3399999999999999,0.0,0.0,0.4,5.0,0
12,Zinchenko,12,0,4,14.6,0.2,0.0,0.026000000000000002,0.6599999999999999,0.0,0.0,0.2,5.0,0
12,Zinchenko,13,1,3,14.6,0.2,0.0,0.026000000000000002,0.6599999999999999,0.0,0.0,0.2,5.0,0
12,Zinchenko,14,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0
12,Zinchenko,15,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0
13,Clarke,4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,Clarke,5,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,Clarke,6,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,Clarke,7,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,Clarke,8,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,Clarke,9,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,Clarke,10,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,Clarke,11,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,Clarke,12,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,Clarke,13,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,Clarke,14,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,Clarke,15,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,Kacurri,4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,Kacurri,5,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,Kacurri,6,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,Kacurri,7,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,Kacurri,8,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,Kacurri,9,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,Kacurri,10,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,Kacurri,11,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,Kacurri,12,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,Kacurri,13,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,Kacurri,14,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,Kacurri,15,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,Nichols,4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,Nichols,5,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,Nichols,6,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,Nichols,7,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,Nichols,8,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,Nichols,9,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,Nichols,10,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,Nichols,11,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,Nichols,12,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
