element_id,player_name,round,fixture,was_home,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goals_conceded,total_points
8,J.Timber,4,31,True,90,0,0,1,0,0,0,2,37,19.8,13.0,35.0,6.8,0.3,0.02,0.2,8
8,J.Timber,5,41,True,79,0,0,0,1,1,0,0,16,17.0,13.9,8.0,3.9,0.0,0.05,0.65,1
8,J.Timber,6,58,False,90,0,0,0,1,0,0,0,10,24.6,38.2,25.0,8.8,0.53,0.21,0.61,2
8,J.Timber,7,61,True,90,0,1,1,0,0,0,2,43,20.2,16.8,29.0,6.6,0.16,0.03,0.49,11
8,J.Timber,8,74,False,90,0,0,1,0,0,0,0,27,16.8,31.8,6.0,5.5,0.0,0.15,0.44,6
8,J.Timber,9,81,True,90,0,0,1,0,0,0,0,25,11.8,16.7,2.0,3.1,0.0,0.04,0.47,6
8,J.Timber,10,92,False,90,0,0,1,0,0,0,0,20,5.4,1.2,17.0,2.4,0.19,0.01,0.42,6
8,J.Timber,11,108,False,90,0,0,0,2,0,0,0,7,13.0,6.3,8.0,2.7,0.0,0.03,0.44,1
8,J.Timber,12,111,True,90,0,1,0,1,0,0,0,6,15.0,14.8,20.0,5.0,0.5,0.04,0.07,5
8,J.Timber,13,123,False,90,0,0,0,1,0,0,0,8,10.2,3.1,6.0,1.9,0.3,0.03,0.79,2
8,J.Timber,14,131,True,46,0,0,0,0,0,0,0,3,7.0,0.3,0.0,0.7,0.0,0.0,0.09,1
8,J.Timber,15,141,False,90,0,0,0,2,0,0,0,7,24.0,1.8,4.0,3.0,0.23,0.01,2.16,3
9,Kiwior,1,9,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Kiwior,2,11,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Kiwior,3,25,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Kiwior,4,31,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Kiwior,5,41,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Kiwior,6,58,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Kiwior,7,61,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Kiwior,8,74,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Kiwior,9,81,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Kiwior,10,92,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Kiwior,11,108,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Kiwior,12,111,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Kiwior,13,123,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Kiwior,14,131,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Kiwior,15,141,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,Lewis-Skelly,1,9,False,18,0,0,0,0,1,0,0,-1,0.2,0.0,0.0,0.0,0.0,0.0,0.66,0
10,Lewis-Skelly,2,11,True,26,0,0,0,0,0,0,0,7,4.2,3.7,0.0,0.8,0.0,0.0,0.0,1
10,Lewis-Skelly,3,25,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,Lewis-Skelly,4,31,True,22,0,0,0,0,0,0,0,3,0.0,2.0,0.0,0.1,0.0,0.0,0.1,1
10,Lewis-Skelly,5,41,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,Lewis-Skelly,6,58,False,2,0,0,0,0,0,0,0,2,0.0,0.9,2.0,0.2,0.0,0.0,0.04,1
10,Lewis-Skelly,7,61,True,15,0,0,0,0,0,0,0,2,3.2,0.3,2.0,0.6,0.0,0.0,0.13,1
10,Lewis-Skelly,8,74,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,Lewis-Skelly,9,81,True,2,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,0.0,0.0,0.01,1
10,Lewis-Skelly,10,92,False,1,0,0,0,0,0,0,0,3,2.0,0.0,0.0,0.2,0.0,0.0,0.05,1
10,Lewis-Skelly,11,108,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,Lewis-Skelly,12,111,True,1,0,0,0,0,0,0,0,3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1
10,Lewis-Skelly,13,123,False,45,0,0,0,1,1,0,0,-1,0.4,2.2,0.0,0.3,0.0,0.02,0.48,0
10,Lewis-Skelly,14,131,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,Lewis-Skelly,15,141,False,4,0,0,0,1,0,0,0,-1,1.0,0.0,0.0,0.1,0.0,0.0,0.8,1
11,White,1,9,False,70,0,0,1,0,0,0,0,23,15.4,11.3,1.0,2.8,0.01,0.01,0.87,6
11,White,2,11,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,White,3,25,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,White,4,31,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,White,5,41,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,White,6,58,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,White,7,61,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,White,8,74,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,White,9,81,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,White,10,92,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,White,11,108,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,White,12,111,True,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,White,13,123,False,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,White,14,131,True,90,0,1,1,0,0,0,3,46,49.8,29.5,8.0,8.7,0.04,0.14,0.35,14
11,White,15,141,False,90,0,0,0,2,0,0,0,18,24.0,17.6,23.0,6.5,0.32,0.26,2.16,1
